OBJECTID,Od,Aleket_cnt,Commends
1,450.0,2.0, 
2,451.0,2.0, 
3,452.0,2.0, 
4,453.0,2.0, 
5,454.0,2.0, 
6,455.0,2.0, 
7,456.0,2.0, 
8,457.0,2.0, 
9,458.0,2.0, 
10,459.0,2.0, 
11,460.0,2.0, 
12,461.0,2.0, 
13,462.0,3.0,Include water lines
14,463.0,3.0, 
15,464.0,3.0, 
16,465.0,3.0, 
17,466.0,3.0, 
18,467.0,3.0, 
19,468.0,3.0, 
20,469.0,3.0, 
21,470.0,3.0, 
22,471.0,3.0, 
23,472.0,3.0, 
24,473.0,3.0, 
25,474.0,3.0, 
26,475.0,2.0,Include water lines
27,476.0,2.0, 
28,477.0,2.0, 
29,478.0,2.0, 
30,479.0,2.0, 
31,480.0,2.0, 
32,481.0,2.0, 
33,482.0,2.0, 
34,483.0,2.0, 
35,484.0,2.0, 
36,485.0,2.0, 
37,486.0,2.0, 
38,487.0,2.0,Mshubash kane
39,488.0,2.0, 
40,489.0,2.0, 
41,490.0,2.0, 
42,491.0,3.0, 
43,492.0,2.0, 
44,493.0,2.0, 
45,494.0,2.0, 
46,495.0,2.0, 
47,496.0,2.0, 
48,497.0,2.0, 
49,498.0,2.0, 
50,499.0,3.0, 
51,500.0,2.0,Meshubash kane
52,501.0,2.0, 
53,502.0,3.0, 
54,503.0,3.0, 
55,504.0,3.0, 
56,505.0,3.0, 
57,506.0,2.0, 
58,507.0,2.0, 
59,508.0,2.0, 
60,509.0,2.0, 
61,510.0,2.0, 
62,511.0,3.0, 
63,512.0,3.0, 
64,513.0,3.0, 
65,514.0,3.0, 
66,515.0,2.0, 
67,516.0,2.0, 
68,517.0,2.0, 
69,518.0,2.0, 
70,519.0,2.0, 
71,520.0,2.0,Meshubash kane
72,521.0,2.0, 
73,522.0,2.0, 
74,523.0,2.0, 
75,524.0,2.0, 
76,525.0,2.0,Include water lines
77,526.0,2.0, 
78,527.0,2.0, 
79,528.0,2.0, 
80,529.0,3.0, 
81,530.0,2.0, 
82,531.0,2.0, 
83,532.0,2.0, 
84,533.0,2.0, 
85,534.0,2.0, 
86,535.0,2.0, 
87,536.0,2.0, 
88,537.0,2.0,Include water lines
89,538.0,2.0, 
90,539.0,2.0, 
91,540.0,2.0, 
92,541.0,2.0, 
93,542.0,2.0, 
94,543.0,1.0, 
95,544.0,2.0, 
96,545.0,2.0, 
97,546.0,1.0, 
98,547.0,2.0, 
99,548.0,2.0, 
100,549.0,2.0, 
101,550.0,2.0,Include water lines
102,551.0,2.0, 
103,552.0,2.0, 
104,553.0,3.0, 
105,554.0,2.0, 
106,555.0,2.0, 
107,556.0,2.0, 
108,557.0,3.0, 
109,558.0,3.0, 
110,559.0,3.0, 
111,560.0,3.0, 
112,561.0,3.0, 
113,562.0,3.0, 
114,563.0,3.0,Include water lines
115,564.0,3.0, 
116,565.0,3.0, 
117,566.0,3.0, 
118,567.0,3.0, 
119,568.0,3.0, 
120,569.0,3.0, 
121,570.0,3.0, 
122,571.0,3.0, 
123,572.0,3.0, 
124,573.0,3.0, 
125,574.0,3.0, 
126,575.0,3.0, 
127,576.0,3.0, 
128,577.0,2.0, 
129,578.0,2.0, 
130,579.0,2.0, 
131,580.0,2.0,Meshubash kane
132,581.0,2.0, 
133,582.0,2.0, 
134,583.0,2.0, 
